iter	Passed	Remaining
0	10	8258
1	17	6984
2	22	5858
3	25	5040
4	27	4422
5	30	3970
6	32	3665
7	36	3608
8	53	4682
9	56	4485
10	59	4235
11	61	4036
12	63	3841
13	71	4017
14	77	4077
15	81	3991
16	83	3861
17	86	3770
18	89	3668
19	92	3590
20	94	3510
21	103	3643
22	109	3706
23	120	3906
24	123	3818
25	128	3831
26	136	3910
27	150	4157
28	153	4085
29	167	4298
30	174	4319
31	176	4234
32	178	4155
33	180	4069
34	185	4060
35	192	4080
36	196	4052
37	200	4016
38	203	3968
39	205	3911
40	208	3860
41	211	3821
42	217	3832
43	224	3858
44	227	3821
45	230	3780
46	236	3796
47	243	3821
48	246	3782
49	249	3736
50	251	3690
51	254	3658
52	256	3620
53	260	3594
54	262	3560
55	267	3548
56	272	3550
57	280	3592
58	285	3585
59	288	3558
60	292	3539
61	306	3650
62	313	3664
63	318	3664
64	324	3665
65	329	3669
66	335	3672
67	338	3646
68	342	3625
69	344	3591
70	347	3564
71	361	3652
72	365	3640
73	368	3615
74	371	3594
75	373	3560
76	382	3593
77	395	3664
78	400	3656
79	403	3634
80	406	3604
81	410	3595
82	414	3579
83	416	3551
84	419	3530
85	422	3507
86	431	3535
87	435	3522
88	438	3505
89	441	3482
90	444	3459
91	446	3437
92	449	3417
93	453	3408
94	463	3436
95	468	3432
96	471	3417
97	473	3392
98	475	3367
99	479	3355
100	482	3342
101	486	3330
102	492	3332
103	502	3360
104	504	3339
105	506	3318
106	509	3297
107	512	3286
108	516	3273
109	525	3294
110	530	3292
111	533	3274
112	535	3253
113	538	3238
114	550	3279
115	553	3261
116	555	3240
117	557	3220
118	560	3205
119	567	3213
120	571	3204
121	575	3196
122	581	3198
123	583	3181
124	589	3184
125	596	3191
126	599	3178
127	601	3159
128	604	3142
129	606	3127
130	609	3112
131	611	3095
132	614	3081
133	623	3097
134	627	3089
135	630	3076
136	633	3063
137	637	3057
138	642	3055
139	649	3061
140	653	3053
141	655	3038
142	662	3044
143	668	3043
144	672	3038
145	675	3027
146	678	3012
147	680	2997
148	682	2983
149	685	2968
150	689	2964
151	698	2976
152	702	2971
153	724	3038
154	727	3026
155	732	3024
156	736	3016
157	742	3016
158	745	3005
159	748	2992
160	750	2978
161	752	2964
162	755	2953
163	761	2954
164	767	2952
165	769	2939
166	782	2964
167	785	2953
168	791	2956
169	799	2961
170	802	2951
171	807	2948
172	813	2946
173	817	2940
174	821	2934
175	823	2920
176	828	2915
177	835	2920
178	840	2916
179	843	2905
180	852	2915
181	856	2909
182	859	2898
183	863	2889
184	868	2886
185	872	2879
186	877	2875
187	879	2864
188	882	2852
189	885	2842
190	887	2831
191	900	2851
192	904	2845
193	907	2834
194	917	2846
195	923	2846
196	926	2835
197	928	2824
198	936	2827
199	942	2826
200	944	2816
201	947	2803
202	949	2790
203	963	2814
204	967	2807
205	969	2796
206	976	2796
207	984	2802
208	988	2796
209	991	2785
210	993	2774
211	996	2762
212	1001	2759
213	1007	2758
214	1011	2752
215	1013	2740
216	1017	2734
217	1022	2728
218	1029	2730
219	1032	2722
220	1035	2713
221	1037	2701
222	1040	2692
223	1044	2686
224	1050	2684
225	1054	2679
226	1057	2669
227	1061	2662
228	1066	2659
229	1074	2662
230	1077	2653
231	1083	2653
232	1090	2654
233	1093	2645
234	1098	2641
235	1102	2633
236	1107	2631
237	1112	2627
238	1134	2663
239	1139	2657
240	1142	2649
241	1145	2641
242	1150	2637
243	1155	2632
244	1162	2633
245	1168	2631
246	1173	2627
247	1180	2626
248	1194	2643
249	1197	2633
250	1199	2624
251	1208	2628
252	1211	2619
253	1221	2624
254	1225	2619
255	1230	2615
256	1234	2608
257	1237	2599
258	1247	2604
259	1265	2627
260	1268	2620
261	1272	2612
262	1274	2603
263	1277	2594
264	1282	2588
265	1291	2592
266	1294	2584
267	1297	2575
268	1300	2566
269	1303	2558
270	1307	2552
271	1320	2563
272	1322	2553
273	1335	2564
274	1338	2555
275	1340	2545
276	1342	2535
277	1345	2525
278	1348	2518
279	1351	2509
280	1354	2501
281	1357	2492
282	1359	2483
283	1372	2493
284	1378	2491
285	1381	2483
286	1384	2474
287	1387	2466
288	1391	2460
289	1395	2453
290	1398	2445
291	1405	2445
292	1412	2444
293	1416	2437
294	1419	2429
295	1425	2426
296	1428	2419
297	1431	2411
298	1433	2402
299	1436	2394
300	1439	2385
301	1441	2377
302	1454	2385
303	1460	2383
304	1463	2375
305	1470	2374
306	1475	2368
307	1480	2364
308	1482	2356
309	1485	2347
310	1490	2344
311	1494	2337
312	1499	2333
313	1503	2326
314	1505	2317
315	1507	2309
316	1511	2303
317	1516	2298
318	1522	2295
319	1528	2292
320	1532	2286
321	1536	2280
322	1540	2274
323	1547	2273
324	1553	2270
325	1557	2264
326	1560	2256
327	1564	2251
328	1568	2244
329	1571	2238
330	1574	2231
331	1580	2227
332	1589	2229
333	1592	2222
334	1594	2213
335	1597	2205
336	1599	2197
337	1603	2191
338	1610	2189
339	1616	2186
340	1618	2179
341	1623	2174
342	1630	2172
343	1634	2166
344	1638	2160
345	1644	2157
346	1649	2153
347	1657	2153
348	1661	2147
349	1663	2139
350	1668	2134
351	1673	2130
352	1678	2126
353	1682	2119
354	1685	2112
355	1688	2106
356	1696	2104
357	1701	2100
358	1704	2094
359	1707	2087
360	1710	2080
361	1714	2074
362	1718	2069
363	1723	2063
364	1727	2058
365	1730	2052
366	1732	2044
367	1738	2040
368	1742	2035
369	1745	2028
370	1751	2025
371	1753	2017
372	1756	2010
373	1767	2013
374	1775	2011
375	1779	2007
376	1787	2005
377	1794	2002
378	1798	1997
379	1801	1990
380	1803	1983
381	1805	1975
382	1809	1970
383	1813	1964
384	1817	1959
385	1822	1954
386	1825	1948
387	1831	1945
388	1839	1943
389	1842	1936
390	1844	1929
391	1855	1931
392	1860	1926
393	1863	1919
394	1866	1913
395	1873	1911
396	1879	1908
397	1883	1902
398	1886	1896
399	1889	1889
400	1891	1882
401	1893	1874
402	1895	1867
403	1903	1865
404	1910	1862
405	1916	1859
406	1918	1852
407	1922	1847
408	1927	1843
409	1935	1841
410	1943	1839
411	1951	1837
412	1955	1832
413	1957	1824
414	1959	1818
415	1963	1812
416	1970	1809
417	1974	1804
418	1977	1798
419	1979	1791
420	1986	1788
421	1990	1783
422	1996	1779
423	1999	1772
424	2001	1765
425	2006	1762
426	2010	1756
427	2014	1750
428	2017	1744
429	2020	1738
430	2025	1733
431	2029	1728
432	2033	1723
433	2038	1719
434	2043	1714
435	2050	1711
436	2056	1707
437	2058	1701
438	2066	1698
439	2073	1696
440	2076	1690
441	2079	1683
442	2089	1683
443	2094	1679
444	2097	1673
445	2101	1668
446	2115	1670
447	2119	1665
448	2126	1662
449	2131	1658
450	2136	1653
451	2141	1648
452	2145	1643
453	2152	1640
454	2158	1636
455	2162	1631
456	2165	1625
457	2168	1619
458	2174	1615
459	2181	1612
460	2183	1605
461	2187	1600
462	2190	1594
463	2194	1588
464	2197	1583
465	2205	1580
466	2209	1575
467	2212	1569
468	2219	1566
469	2231	1566
470	2234	1560
471	2237	1554
472	2239	1548
473	2248	1546
474	2266	1550
475	2275	1549
476	2286	1548
477	2293	1545
478	2298	1540
479	2301	1534
480	2303	1527
481	2309	1523
482	2314	1518
483	2318	1513
484	2321	1507
485	2325	1502
486	2330	1497
487	2335	1493
488	2339	1487
489	2341	1481
490	2344	1475
491	2346	1469
492	2349	1463
493	2353	1458
494	2357	1452
495	2363	1448
496	2365	1442
497	2367	1435
498	2372	1431
499	2376	1425
500	2382	1421
501	2389	1418
502	2392	1412
503	2397	1407
504	2406	1405
505	2411	1401
506	2414	1395
507	2418	1390
508	2424	1385
509	2429	1381
510	2433	1376
511	2436	1370
512	2442	1366
513	2451	1363
514	2461	1361
515	2465	1357
516	2468	1351
517	2471	1345
518	2473	1339
519	2476	1333
520	2481	1328
521	2488	1325
522	2493	1320
523	2496	1314
524	2501	1310
525	2509	1307
526	2513	1301
527	2515	1295
528	2519	1290
529	2525	1286
530	2530	1282
531	2534	1276
532	2541	1273
533	2551	1270
534	2554	1265
535	2557	1259
536	2560	1254
537	2566	1249
538	2575	1247
539	2578	1241
540	2580	1235
541	2590	1232
542	2594	1228
543	2598	1222
544	2604	1218
545	2610	1214
546	2615	1209
547	2618	1204
548	2620	1198
549	2624	1192
550	2632	1189
551	2637	1185
552	2640	1179
553	2647	1175
554	2654	1171
555	2656	1165
556	2659	1160
557	2663	1155
558	2667	1150
559	2683	1150
560	2685	1144
561	2692	1140
562	2703	1137
563	2709	1133
564	2714	1129
565	2717	1123
566	2730	1122
567	2734	1116
568	2736	1111
569	2739	1105
570	2747	1101
571	2752	1097
572	2756	1091
573	2758	1086
574	2761	1080
575	2764	1074
576	2767	1069
577	2771	1064
578	2783	1062
579	2798	1061
580	2802	1056
581	2805	1050
582	2812	1046
583	2817	1042
584	2824	1038
585	2828	1032
586	2831	1027
587	2838	1023
588	2845	1019
589	2848	1013
590	2851	1008
591	2855	1003
592	2867	1000
593	2872	996
594	2876	991
595	2884	987
596	2891	983
597	2895	978
598	2902	974
599	2911	970
600	2915	965
601	2918	959
602	2924	955
603	2931	951
604	2945	949
605	2952	945
606	2957	940
607	2961	935
608	2963	929
609	2966	924
610	2972	919
611	2976	914
612	2982	909
613	2985	904
614	2987	898
615	2991	893
616	2995	888
617	2998	883
618	3006	879
619	3018	876
620	3034	874
621	3043	871
